Module,Offered,Group,Language,Activity,Day,Time,Venue,Campus,Study Prog
ABR 311,S1,G01,E,L1,Wednesday,15:30 - 16:20,IT 4-4,HATFIELD,
ABR 311,S1,G01,E,L2,Thursday,08:30 - 09:20,IT 4-4,HATFIELD,
ABR 410,S1,G01,E,L1,Tuesday,07:30 - 09:20,vd Bijl Hall,HATFIELD,
ABR 410,S1,G02,E,L1,Thursday,08:30 - 10:20,vd Bijl Hall,HATFIELD,
ABV 320,S2,G01,E,L1,Monday,08:30 - 09:20,Roos hall,HATFIELD,B4
ABV 320,S2,G01,E,L2,Tuesday,10:30 - 12:20,Roos hall,HATFIELD,B4
AFR 110,S1,G01,A,B1,Tuesday,14:30 - 16:20,HB 4-6,HATFIELD,
AFR 110,S1,G01,A,L1,Monday,11:30 - 13:20,HB 4-6,HATFIELD,
AFR 110,S1,G51,A,L1,Wednesday,15:30 - 17:20,Aldoel Bld 1-133,GROENKLOOF,
AFR 110,S1,G51,A,P1,Friday,09:30 - 11:20,Aldoel Bld 1-133,GROENKLOOF,
AFR 114,S1,G01,A,L1,Tuesday,12:30 - 13:20,HB 3-14,HATFIELD,
AFR 114,S1,G01,A,L2,Thursday,11:30 - 12:20,HB 3-14,HATFIELD,
AFR 120,S2,G01,A,B1,Thursday,15:30 - 17:20,HB 4-6,HATFIELD,
AFR 120,S2,G01,A,L1,Monday,13:30 - 15:20,IT 4-3,HATFIELD,
AFR 120,S2,G51,A,L1,Monday,08:30 - 10:20,Aldoel Bld 2-97,GROENKLOOF,
AFR 120,S2,G51,A,P1,Friday,07:30 - 09:20,Aldoel Bld 2-97,GROENKLOOF,
AFR 210,S1,G01,A,L1,Tuesday,09:30 - 10:20,HB 4-5,HATFIELD,
AFR 210,S1,G01,A,L2,Thursday,09:30 - 10:20,HB 3-14,HATFIELD,
AFR 214,S1,G01,A,D1,Thursday,15:30 - 17:20,HB 4-16,HATFIELD,
AFR 214,S1,G01,A,L1,Monday,14:30 - 16:20,HB 4-16,HATFIELD,
AFR 214,S1,G51,A,D1,Friday,10:30 - 12:20,Lecture Theatre L2,GROENKLOOF,
AFR 214,S1,G51,A,L1,Wednesday,11:30 - 13:20,Lecture Theatre L2,GROENKLOOF,
AFR 220,S2,G01,A,D1,Thursday,14:30 - 16:20,HB 3-14,HATFIELD,
AFR 220,S2,G01,A,L1,Monday,15:30 - 17:20,HB 3-24,HATFIELD,
AFR 220,S2,G51,A,D1,Friday,10:30 - 12:20,Aldoel Bld 1-133,GROENKLOOF,
AFR 220,S2,G51,A,L1,Wednesday,14:30 - 16:20,Aldoel Bld 1-133,GROENKLOOF,
AFR 311,S1,G01,A,D1,Thursday,15:30 - 17:20,HB 1-10,HATFIELD,
AFR 311,S1,G01,A,L1,Tuesday,13:30 - 15:20,HB 1-10,HATFIELD,
AFR 321,S2,G01,A,D1,Thursday,07:30 - 09:20,HB 2-15,HATFIELD,
AFR 321,S2,G01,A,L1,Wednesday,13:30 - 15:20,HB 2-15,HATFIELD,
AFR 358,S1,G01,A,D1,Thursday,08:30 - 09:20,HB 2-15,HATFIELD,
AFR 358,S1,G01,A,L1,Wednesday,13:30 - 15:20,HB 2-15,HATFIELD,
AFT 121,S2,G01,E,L1,Monday,09:30 - 10:20,HB 3-14,HATFIELD,
AFT 121,S2,G01,E,L1,Monday,09:30 - 10:20,HB 4-14,HATFIELD,
AFT 121,S2,G01,E,L1,Monday,09:30 - 10:20,HB 4-6,HATFIELD,
AFT 121,S2,G01,E,L1,Monday,09:30 - 10:20,HB 4-7,HATFIELD,
AFT 121,S2,G01,E,L2,Thursday,12:30 - 13:20,HB 3-15,HATFIELD,
